CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
chr16:88760114,0.965,0.9668,0.9673,0.9656,0.9671,0.9676,0.9813,0.9717,0.9679,0.9363,0.9668,0.958825,0.8588,0.9717,0.966,0.9259,0.9608,0.9553,0.9631,0.9735,0.574,0.9375,0.972,0.9659,0.9633
chr16:88760161,0.9497,0.9528,0.9437,0.9427,0.9531,0.9329999999999999,0.9724,0.9005,0.945,0.9098,0.9391,0.949725,0.9287,0.9552,0.9106,0.9041,0.9664,0.9632,0.9616,0.9775,0.5648,0.9579,0.9688,0.9649,0.9601
chr17:77699296,0.9659,0.9635,0.9682,0.963,0.9638,0.9651,0.9693,0.9618,0.9677,0.9038,0.9717,0.78765,0.9139,0.9487,0.9525,0.9614,0.961,0.9706,0.9712,0.9729,0.4932,0.9644,0.9698,0.9683,0.8821
chr19:44813236,0.975,0.9612,0.9662,0.9742,0.9708,0.9706,0.9825,0.9851,0.9540000000000001,0.9799,0.9688,0.8449,0.9347,0.8808,0.972,0.9729,0.9752,0.9888,0.9428,0.9764,0.5466,0.9232,0.9802,0.8831,0.8540000000000001
chr19:44813252,0.9788,0.9667,0.9726,0.978,0.9746,0.9791,0.9912,0.9868,0.9671,0.9828,0.9725,0.8417,0.9255,0.8656,0.9789,0.9735,0.9787,0.9886,0.9397,0.9796,0.5326,0.9332,0.9825,0.8662,0.8592
chr4:1353378,0.9748,0.9745,0.9723,0.9722,0.9740000000000001,0.9675,0.982,0.9785,0.9733,0.8548,0.9218,0.931575,0.9631,0.9640000000000001,0.9654,0.9362,0.9794,0.9797,0.9828,0.9802,0.6396,0.9719,0.9772,0.9583,0.9735
chr8:140557680,0.9714,0.9671,0.966,0.9653,0.9702,0.965,0.9857,0.9792,0.804,0.9759,0.9702,0.963625,0.9697,0.9725,0.9578,0.9661,0.9811,0.9853,0.9833,0.9849,0.6742,0.9809,0.9834,0.977,0.9461
chr19:44813236,0.975,0.9612,0.9662,0.9742,0.9708,0.9706,0.9825,0.9851,0.9540000000000001,0.9799,0.9688,0.8449,0.9347,0.8808,0.972,0.9729,0.9752,0.9888,0.9428,0.9764,0.5466,0.9232,0.9802,0.8831,0.8540000000000001
chr19:44813252,0.9788,0.9667,0.9726,0.978,0.9746,0.9791,0.9912,0.9868,0.9671,0.9828,0.9725,0.8417,0.9255,0.8656,0.9789,0.9735,0.9787,0.9886,0.9397,0.9796,0.5326,0.9332,0.9825,0.8662,0.8592
chr10:131625854,0.9484,0.9508,0.9543,0.9529,0.9545,0.9447,0.9831,0.9788,0.9398,0.9352,0.9533,0.957925,0.9038,0.9713,0.9367,0.9559,0.9778,0.9753,0.9688,0.9801,0.5806,0.9617,0.9734,0.9740000000000001,0.8640000000000001
chr10:131625834,0.9614,0.9581,0.9599,0.963,0.9674,0.9513,0.9818,0.9756,0.9497,0.9295,0.968,0.9491,0.8703,0.9556,0.9362,0.9663,0.9785,0.9701,0.9706,0.9789,0.4986,0.9612,0.9785,0.9751,0.8152
chr2:1882333,0.9592,0.9374,0.9579,0.9536,0.9547,0.9468,0.9742,0.8518,0.9103,0.8712,0.9486,0.9363,0.9187,0.9675,0.9328,0.9521,0.9321,0.8747,0.9377,0.9301,0.4439,0.9222,0.4925,0.94,0.7833
chr2:1882314,0.9735,0.9620000000000001,0.9729,0.9718,0.977,0.9767,0.9735,0.9423,0.9491,0.8711,0.9729,0.977875,0.9445,0.9778,0.9593,0.9662,0.9670000000000001,0.934,0.9763,0.9429,0.4003,0.9598,0.4197,0.9779,0.8611
chr2:1882355,0.8819,0.7257,0.8759999999999999,0.8536,0.8886,0.8829,0.9023,0.7748,0.777,0.7094,0.8484,0.805475,0.7739,0.8678,0.7976,0.8398,0.8702,0.7624,0.8559,0.8441,0.3713,0.7985,0.3973,0.8289,0.6898
chr17:79088510,0.9868,0.9844,0.9846,0.9865,0.9864,0.9856,0.9912,0.9914,0.7873,0.9859,0.9821,0.661675,0.9697,0.9712,0.9716,0.9866,0.993,0.9932,0.9897,0.9925,0.6297,0.9522,0.9916,0.992,0.8967
chr17:79088536,0.8534,0.8523,0.8479,0.8559,0.8568,0.8424,0.8796,0.7823,0.4651,0.7909999999999999,0.7885,0.50945,0.5541,0.7797,0.7696,0.8258,0.8655,0.8457,0.8531,0.8426,0.5567,0.8034,0.8505,0.8023,0.7402
chr10:5508507,0.9741,0.9721,0.9718,0.9652,0.9638,0.9756,0.9805,0.973,0.9747,0.9741,0.9804,0.95965,0.9728,0.9728,0.9816,0.9804,0.9723,0.965,0.973,0.9694,0.7345,0.9657,0.9653,0.9314,0.9632
chr9:137040590,0.9754,0.9735,0.9775,0.977,0.9789,0.9685,0.9896,0.9814,0.8994,0.9126,0.9381,0.90545,0.9623,0.9754,0.9722,0.9836,0.9859,0.9836,0.9861,0.9808,0.7166,0.9828,0.9827,0.9773,0.9736
chr8:641688,0.9734,0.9706,0.9702,0.9711,0.9751,0.9687,0.9793,0.9672,0.6282,0.9745,0.972,0.966575,0.9754,0.9690000000000001,0.9606,0.9657,0.9659,0.9228,0.9727,0.9461,0.5272,0.9381,0.9415,0.9769,0.8366
chr4:1622156,0.9766,0.9786,0.9773,0.9778,0.9789,0.9754,0.9896,0.8693,0.9708,0.958,0.9649,0.965025,0.941,0.9543,0.8839,0.9826,0.9435,0.93,0.9640000000000001,0.9349,0.643,0.9727,0.9727,0.9731,0.9677
chr10:132797094,0.9742,0.9766,0.9734,0.9703,0.9753,0.9718,0.9836,0.9633,0.8554,0.9212,0.9756,0.955675,0.9404,0.9704,0.976,0.9789,0.9786,0.9470000000000001,0.9652,0.9645,0.6464,0.9526,0.9708,0.9742,0.8921
chr19:1961291,0.9693,0.9502,0.9622,0.9329,0.9623,0.9615,0.9843,0.9570000000000001,0.8046,0.9249,0.9254,0.931775,0.9474,0.9512,0.884,0.9406,0.9641,0.9617,0.9129,0.9765,0.4497,0.9534,0.9634,0.9478,0.7647
chr2:178108352,0.9656,0.9622,0.9623,0.9566,0.9652,0.9627,0.9399,0.9517,0.9371,0.9161,0.9643,0.882,0.9384,0.9329999999999999,0.9376,0.9632,0.9491,0.9253,0.9322,0.9632,0.5452,0.9543,0.9511,0.9471,0.9411
chr2:178108338,0.9157,0.9171,0.9139,0.9019,0.9129,0.9108,0.941,0.8887,0.9019,0.8843,0.9046,0.845525,0.8978,0.9024,0.8838,0.895,0.8934,0.8837,0.8811,0.8985,0.6229,0.9016,0.8933,0.8943,0.8731
chr2:178108365,0.9123,0.9165,0.9052,0.9042,0.915,0.9171,0.9477,0.8861,0.9056,0.8553,0.9195,0.82115,0.8977,0.9077,0.9055,0.917,0.9257,0.9129,0.9065,0.9169,0.7231,0.9179,0.9178,0.9102,0.9173
chr10:133189214,0.9824,0.9777,0.9735,0.9791,0.9751,0.9818,0.9904,0.9219,0.9811,0.7903,0.9792,0.9794,0.8737,0.9854,0.9112,0.9749,0.9831,0.9625,0.8533,0.9336,0.6063,0.9520000000000001,0.9853,0.9701,0.9778
chr4:99653439,0.9682,0.9542,0.9502,0.9538,0.9399,0.9621,0.9872,0.9588,0.8883,0.8774,0.9766,0.8502,0.9292,0.9537,0.9533,0.9745,0.9652,0.9778,0.9576,0.9018,0.5496,0.9409,0.9747,0.9506,0.9619
chr5:132272553,0.973,0.9707,0.9723,0.9742,0.9752,0.9747,0.9751,0.9590000000000001,0.9670000000000001,0.9744,0.9692,0.97405,0.9791,0.9740000000000001,0.975,0.8774,0.965,0.9511,0.9658,0.9709,0.7224,0.9716,0.9723,0.9704,0.9673
chr1:93589278,0.9752,0.9748,0.9742,0.9708,0.9719,0.975,0.9907,0.9816,0.9801,0.9470000000000001,0.9778,0.9721,0.9476,0.9745,0.9694,0.9744,0.9858,0.9858,0.9858,0.9856,0.804,0.9839,0.9834,0.9843,0.9817
chr11:66708250,0.9742,0.9718,0.9662,0.9631,0.9621,0.9693,0.9897,0.9534,0.8692,0.9809,0.9808,0.9713,0.9743,0.9813,0.9732,0.9752,0.9848,0.9756,0.9823,0.8939,0.7225,0.9687,0.9805,0.9778,0.9646
chr7:1293976,0.9602,0.9618,0.9638,0.9619,0.9592,0.9484,0.9738,0.9533,0.9419,0.9497,0.9537,0.9489,0.878,0.9453,0.9251,0.4328,0.9773,0.9632,0.9552,0.9724,0.4211,0.8935,0.9699,0.9734,0.9229999999999999
chr16:88760114,0.965,0.9668,0.9673,0.9656,0.9671,0.9676,0.9813,0.9717,0.9679,0.9363,0.9668,0.958825,0.8588,0.9717,0.966,0.9259,0.9608,0.9553,0.9631,0.9735,0.574,0.9375,0.972,0.9659,0.9633
chr16:88760161,0.9497,0.9528,0.9437,0.9427,0.9531,0.9329999999999999,0.9724,0.9005,0.945,0.9098,0.9391,0.949725,0.9287,0.9552,0.9106,0.9041,0.9664,0.9632,0.9616,0.9775,0.5648,0.9579,0.9688,0.9649,0.9601
chr2:237708545,0.9602,0.9595,0.9558,0.9562,0.9581,0.9537,0.9828,0.9793,0.9682,0.9640000000000001,0.8718,0.969975,0.9588,0.9632,0.9632,0.9690000000000001,0.9775,0.9695,0.9811,0.9626,0.6936,0.9665,0.9542,0.9747,0.9714
chr7:157654552,0.9689,0.9596,0.9557,0.9634,0.9634,0.9632,0.9746,0.9489,0.8659,0.8554,0.9436,0.973125,0.9604,0.9329999999999999,0.8603,0.9615,0.9783,0.9616,0.9326,0.953,0.565,0.9527,0.9063,0.9736,0.9008
chr7:157654557,0.97,0.9638,0.9663,0.9696,0.9715,0.9723,0.9793,0.963,0.8921,0.919,0.9718,0.9768,0.9713,0.9709,0.9284,0.9784,0.9806,0.9718,0.953,0.9635,0.6733,0.9652,0.9329,0.9711,0.9275
chr11:132161523,0.9528,0.9574,0.9557,0.9576,0.9573,0.9501,0.9471,0.9351,0.8887,0.8594,0.9432,0.952825,0.9102,0.9369,0.9296,0.9452,0.9299,0.9619,0.9169,0.9353,0.45399999999999996,0.9277,0.9546,0.9602,0.8107
chr13:112843293,0.9257,0.9259999999999999,0.9208,0.919,0.9377,0.9216,0.96,0.9229,0.9545,0.9401,0.9244,0.951275,0.9551,0.9590000000000001,0.9304,0.9427,0.9163,0.8913,0.9628,0.9637,0.4723,0.9384,0.9642,0.9649,0.8238
chr10:132677701,0.9802,0.9784,0.98,0.9790000000000001,0.9787,0.9786,0.9815,0.9796,0.6166,0.9748,0.9831,0.849725,0.5789,0.9324,0.9725,0.9792,0.9714,0.981,0.9788,0.9775,0.4748,0.9521,0.9762,0.9764,0.8859
chr8:8891282,0.983,0.9846,0.9553,0.9826,0.9752,0.9816,0.9916,0.9872,0.9172,0.9867,0.9563,0.9827,0.9834,0.9886,0.9802,0.7723,0.992,0.9911,0.9907,0.986,0.6041,0.5524,0.99,0.9662,0.9234
chr1:15048652,0.9718,0.9263,0.9478,0.9662,0.9428,0.9671,0.9628,0.9773,0.9707,0.5670000000000001,0.9629,0.9362,0.8999,0.9633,0.9567,0.9658,0.981,0.9682,0.9709,0.9620000000000001,0.4424,0.9461,0.6565,0.9714,0.9649
chr5:2155695,0.9685,0.973,0.9704,0.9694,0.9726,0.9652,0.9734,0.9762,0.9640000000000001,0.8093,0.9358,0.95135,0.8887,0.9559,0.9529,0.9732,0.9778,0.8356,0.9741,0.9252,0.47,0.8901,0.7414,0.9624,0.8758
chr16:88643519,0.9646,0.8207,0.9697,0.9708,0.9708,0.9686,0.9865,0.9795,0.9045,0.9790000000000001,0.9668,0.964425,0.9764,0.9812,0.9673,0.9628,0.9822,0.9122,0.9769,0.9152,0.6661,0.9655,0.968,0.9732,0.9513
chr4:1353151,0.9711,0.9676,0.9716,0.9673,0.9701,0.9673,0.9721,0.9762,0.9627,0.8047,0.9676,0.955975,0.9529,0.9487,0.9464,0.9615,0.9790000000000001,0.9793,0.9765,0.981,0.7002,0.9790000000000001,0.9754,0.9761,0.9711
chr21:45425195,0.8537,0.847,0.8220000000000001,0.8358,0.8309,0.8443,0.8907,0.8352,0.862,0.8590000000000001,0.8146,0.6816,0.6199,0.7751,0.8445,0.8027,0.857,0.7773,0.8269,0.7905,0.4811,0.8241,0.8233,0.7168,0.8303
chr21:45425245,0.9656,0.9637,0.9640000000000001,0.9622,0.9668,0.9631,0.9785,0.9739,0.9643,0.9658,0.9416,0.83745,0.5768,0.8959999999999999,0.9436,0.7034,0.9772,0.9326,0.9783,0.9611,0.4192,0.9731,0.976,0.8698,0.9763
chr1:10624335,0.9821,0.9821,0.9754,0.9823,0.9813,0.9792,0.9866,0.9845,0.9839,0.9003,0.9821,0.91745,0.9708,0.9779,0.9762,0.9825,0.9849,0.9883,0.9886,0.9878,0.8041,0.9604,0.9872,0.9689,0.9837
chr10:131093056,0.9503,0.9459,0.9394,0.9428,0.9457,0.9371,0.9467,0.9641,0.9131,0.8092,0.9169,0.9332,0.8974,0.8853,0.8856,0.9222,0.9556,0.972,0.9616,0.9747,0.5047,0.9723,0.9668,0.9697,0.9613
chr10:131093078,0.8996,0.8977,0.8832,0.8996,0.8988,0.875,0.8082,0.9538,0.8857,0.65,0.8626,0.89585,0.8423,0.8487,0.7584,0.8589,0.9127,0.93,0.9171,0.9456,0.3341,0.9416,0.9416,0.9251,0.9329
chr7:36084952,0.9335,0.9319,0.9255,0.9211,0.9263,0.9336,0.9744,0.9482,0.9166,0.9339,0.9155,0.937175,0.9292,0.9358,0.9248,0.9282,0.9648,0.9399,0.9228,0.9566,0.4458,0.9101,0.7751,0.95,0.9252
chr2:236634063,0.9755,0.9743,0.9707,0.9717,0.9745,0.9716,0.9843,0.9772,0.9551,0.9641,0.9774,0.9747,0.9811,0.9815,0.9635,0.9702,0.9485,0.9852,0.8440000000000001,0.9729,0.7106,0.9847,0.9855,0.9672,0.8270000000000001
chr2:236634019,0.9708,0.9692,0.9621,0.9702,0.9647,0.9607,0.9785,0.98,0.9399,0.9458,0.961,0.967775,0.9737,0.9695,0.9482,0.9576,0.9384,0.973,0.8358,0.9737,0.7184,0.9823,0.9826,0.9615,0.8074
chr10:2936495,0.9646,0.9085,0.9512,0.9622,0.9521,0.9393,0.9842,0.9483,0.8032,0.8134,0.9185,0.907025,0.9071,0.9446,0.9472,0.9127,0.9757,0.9689,0.9411,0.9042,0.3745,0.9264,0.7293,0.9647,0.8345
chr7:157654552,0.9689,0.9596,0.9557,0.9634,0.9634,0.9632,0.9746,0.9489,0.8659,0.8554,0.9436,0.973125,0.9604,0.9329999999999999,0.8603,0.9615,0.9783,0.9616,0.9326,0.953,0.565,0.9527,0.9063,0.9736,0.9008
chr7:157654557,0.97,0.9638,0.9663,0.9696,0.9715,0.9723,0.9793,0.963,0.8921,0.919,0.9718,0.9768,0.9713,0.9709,0.9284,0.9784,0.9806,0.9718,0.953,0.9635,0.6733,0.9652,0.9329,0.9711,0.9275
chr12:7014610,0.9412,0.9514,0.9440000000000001,0.9441,0.9465,0.945,0.9726,0.9604,0.7823,0.9305,0.9420000000000001,0.9468,0.9395,0.9552,0.9158,0.9207,0.9653,0.9634,0.95,0.9643,0.5737,0.9638,0.9624,0.9676,0.9583
chr1:1675118,0.9664,0.8321,0.9627,0.9671,0.9534,0.9632,0.9822,0.9752,0.8882,0.9682,0.9594,0.972225,0.9431,0.9657,0.9508,0.9534,0.9858,0.9824,0.9391,0.9268,0.6509,0.9779,0.9782,0.9385,0.9471
chr16:85650502,0.956,0.9494,0.9489,0.9475,0.9549,0.9467,0.9835,0.9481,0.9016,0.9475,0.9487,0.9327,0.9165,0.9516,0.9245,0.932,0.9573,0.9798,0.9541,0.9840000000000001,0.6312,0.9828,0.9825,0.9837,0.8997
chr1:3206490,0.9698,0.9632,0.9685,0.963,0.9719,0.97,0.9899,0.9211,0.9739,0.8677,0.9713,0.952075,0.9354,0.9463,0.9570000000000001,0.9782,0.9329999999999999,0.92,0.8141,0.9061,0.6026,0.9658,0.9758,0.9602,0.9475
chr1:6273783,0.9626,0.963,0.9604,0.9648,0.9629,0.9633,0.9694,0.9684,0.2313,0.9620000000000001,0.9482,0.9592,0.9670000000000001,0.9381,0.9453,0.8132,0.9524,0.9601,0.8579,0.9398,0.3773,0.9295,0.9665,0.9508,0.9596
chr1:6273736,0.8493,0.8464,0.8451,0.8503,0.8556,0.8364,0.9066,0.8218,0.3028,0.7078,0.8057,0.836725,0.8137,0.7624,0.778,0.4912,0.8681,0.8619,0.7754,0.8346,0.4181,0.8182,0.8861,0.8297,0.8666
chr1:6273807,0.8824,0.8854,0.8738,0.8723,0.8812,0.8609,0.9316,0.9005,0.4555,0.8812,0.87,0.87255,0.8578,0.8611,0.8559,0.7875,0.9242,0.9086,0.88,0.8784,0.5425,0.8792,0.9016,0.8766,0.9091
chr18:77120305,0.956,0.789,0.956,0.7852,0.9592,0.9585,0.9859,0.9764,0.9677,0.9742,0.9709,0.62745,0.9033,0.9438,0.9488,0.9643,0.9778,0.9795,0.9799,0.9786,0.5161,0.9768,0.9309999999999999,0.9701,0.9745
chr13:112844136,0.9754,0.9646,0.9731,0.9765,0.9751,0.9751,0.9866,0.9733,0.9583,0.9744,0.9722,0.96025,0.9537,0.9601,0.7146,0.9764,0.9662,0.9638,0.9840000000000001,0.986,0.6199,0.9059999999999999,0.9544,0.9581,0.7754
chr13:112844100,0.907,0.8781,0.8889,0.8892,0.8954,0.8945,0.9414,0.8564,0.8522,0.8859999999999999,0.88,0.798175,0.8668,0.8728,0.5983,0.9109,0.8835,0.84,0.9006,0.8922,0.5381,0.7355,0.8507,0.8446,0.6619
chr7:157862744,0.9717,0.9584,0.9434,0.9541,0.9423,0.9692,0.975,0.838,0.9373,0.7573,0.9548,0.91025,0.9586,0.8159,0.8031,0.9555,0.8599,0.8371,0.8782,0.9156,0.2459,0.8697,0.7928,0.9420000000000001,0.8048
chr7:157487637,0.9703,0.9599,0.9648,0.9641,0.9564,0.9664,0.9846,0.9602,0.8567,0.8347,0.9313,0.95165,0.7113,0.9369,0.9578,0.9609,0.9644,0.9573,0.9582,0.9682,0.5670000000000001,0.9670000000000001,0.9685,0.9706,0.9674
chr7:3042534,0.9667,0.8392,0.9305,0.9526,0.9604,0.9663,0.9816,0.9196,0.9625,0.7509999999999999,0.9497,0.94545,0.9111,0.8929,0.9542,0.9532,0.9145,0.9037,0.9552,0.9674,0.5058,0.9594,0.9606,0.9706,0.9138
chr10:128958959,0.9314,0.9358,0.9184,0.9247,0.9242,0.9229999999999999,0.9645,0.9641,0.9484,0.8252,0.9175,0.783125,0.9009,0.8799,0.8956,0.9181,0.9626,0.8479,0.9571,0.9654,0.3931,0.9083,0.9485,0.9717,0.8831
chr10:128958978,0.9275,0.9267,0.9228,0.9188,0.9285,0.9216,0.934,0.9367,0.9182,0.8001,0.9154,0.797625,0.8673,0.9203,0.9042,0.8948,0.9444,0.8284,0.932,0.9215,0.4604,0.8893,0.9242,0.9078,0.8614
chr11:19350467,0.9602,0.9565,0.961,0.9261,0.9578,0.9443,0.9163,0.7891,0.9276,0.9573,0.9526,0.956425,0.9479,0.9512,0.9304,0.9557,0.9402,0.8813,0.7805,0.9723,0.3867,0.8043,0.9676,0.9539,0.6784
chr11:19350465,0.8828,0.8732,0.8728,0.8581,0.8809999999999999,0.8508,0.9145,0.8211,0.846,0.8645,0.8733,0.895725,0.87,0.8879,0.8640000000000001,0.8512,0.9088,0.8518,0.8265,0.9159,0.6177,0.8332,0.9153,0.8783,0.7784
chr4:187176529,0.9615,0.9689,0.9688,0.9612,0.9682,0.9561,0.9348,0.7582,0.938,0.846,0.9485,0.945625,0.9305,0.9497,0.9496,0.9590000000000001,0.8107,0.8706,0.9348,0.9136,0.4284,0.9241,0.9635,0.8719,0.8506
chr4:13298876,0.9743,0.9723,0.972,0.9675,0.9704,0.9628,0.9658,0.9598,0.9085,0.9703,0.97,0.96635,0.941,0.9634,0.9616,0.9752,0.9182,0.9177,0.9669,0.9237,0.5618,0.8638,0.8839,0.8535,0.7994
chr4:13298883,0.9139,0.93,0.917,0.914,0.9263,0.9084,0.9387,0.9181,0.8298,0.9316,0.9206,0.9023,0.9123,0.9075,0.9144,0.9329,0.8496,0.8362,0.9164,0.8612,0.6032,0.797,0.8331,0.787,0.7705
chr15:70072020,0.9309999999999999,0.5138,0.9124,0.9199,0.9329999999999999,0.9082,0.9615,0.9606,0.8837,0.92,0.9126,0.793775,0.9187,0.9231,0.8802,0.9065,0.9657,0.9618,0.9646,0.9737,0.5951,0.9576,0.9512,0.9618,0.9599
chr15:70071988,0.9524,0.4456,0.9485,0.951,0.96,0.9356,0.9032,0.9798,0.8774,0.9601,0.9614,0.748125,0.9534,0.9445,0.9364,0.9257,0.9671,0.9793,0.9620000000000001,0.9739,0.4422,0.9533,0.9625,0.9648,0.9668
chr15:57326281,0.9724,0.9701,0.9726,0.9616,0.9646,0.9669,0.9523,0.8966,0.9373,0.9333,0.9638,0.94815,0.9454,0.9667,0.9572,0.9684,0.9578,0.9578,0.9397,0.9512,0.6717,0.9506,0.9536,0.9471,0.9501
chr13:22848607,0.9384,0.9493,0.9484,0.9372,0.9419,0.9381,0.9049,0.9084,0.8207,0.6398,0.9057,0.839025,0.8664,0.8136,0.888,0.8751,0.9379,0.8952,0.9042,0.9294,0.2448,0.882,0.9271,0.9244,0.9171
chr15:98891404,0.9764,0.9755,0.9724,0.9744,0.9716,0.9758,0.9864,0.9792,0.9761,0.782,0.9819,0.975875,0.9811,0.9828,0.9745,0.9781,0.9837,0.9792,0.98,0.9761,0.7866,0.9767,0.9794,0.9768,0.9747
chr2:3414709,0.9741,0.9737,0.9704,0.9721,0.975,0.9707,0.9838,0.9795,0.6207,0.9749,0.9621,0.96435,0.9714,0.975,0.9574,0.9668,0.9636,0.9841,0.9809,0.9386,0.5041,0.9202,0.3609,0.9847,0.9740000000000001
chr2:3414759,0.8985,0.8968,0.8979,0.8963,0.9051,0.8955,0.9275,0.9015,0.8215,0.8886,0.8849,0.882875,0.8967,0.8877,0.8667,0.8986,0.92,0.9115,0.9226,0.8959,0.613,0.882,0.3363,0.8965,0.9179999999999999
chr11:456082,0.9593,0.9513,0.9468,0.9490000000000001,0.9614,0.9389,0.9741,0.972,0.9476,0.9425,0.9375,0.946,0.9414,0.9473,0.9025,0.946,0.8704,0.9654,0.9283,0.8437,0.7434,0.932,0.977,0.9635,0.971
chr11:456063,0.9766,0.9749,0.975,0.9694,0.9732,0.9758,0.9839,0.9869,0.9829,0.976,0.9627,0.978275,0.9544,0.9801,0.9758,0.9803,0.8536,0.9601,0.9301,0.7936,0.7004,0.9156,0.9817,0.9524,0.9732
chr2:100001976,0.9527,0.9509,0.9576,0.9404,0.9556,0.9432,0.9311,0.9387,0.9522,0.9441,0.9540000000000001,0.918475,0.8947,0.9390000000000001,0.9346,0.9629,0.9613,0.8676,0.9509,0.9578,0.5792,0.8785,0.9461,0.9373,0.9414
chr2:100001937,0.9664,0.9624,0.9622,0.965,0.9622,0.9637,0.9623,0.9686,0.9599,0.953,0.9498,0.96495,0.937,0.9377,0.9595,0.9437,0.9768,0.9243,0.9746,0.9793,0.7111,0.9027,0.9722,0.975,0.9682
chr7:9017213,0.9412,0.9470000000000001,0.9396,0.9442,0.9441,0.9356,0.9287,0.9329999999999999,0.8982,0.8163,0.8811,0.93905,0.8184,0.8989,0.8559,0.9262,0.9006,0.7982,0.89,0.9420000000000001,0.3055,0.8212,0.9243,0.8954,0.8457
chr10:131160807,0.9586,0.9674,0.9659,0.9647,0.9657,0.9593,0.9877,0.8214,0.9723,0.8677,0.9665,0.96835,0.9269,0.9671,0.94,0.9749,0.9547,0.8899,0.9552,0.9755,0.6741,0.9786,0.9746,0.9718,0.9742
chr10:131160839,0.8695,0.861,0.8562,0.8464,0.8675,0.8629,0.8989,0.7346,0.8684,0.7795,0.8402,0.795533333333333,0.7254,0.8311,0.8324,0.8578,0.8474,0.8499,0.8535,0.8654,0.61,0.8781,0.8614,0.8384,0.8685
chr2:100002004,0.9752,0.9774,0.9723,0.9677,0.9743,0.9688,0.9868,0.9757,0.9698,0.9685,0.9746,0.950925,0.9222,0.9620000000000001,0.9672,0.9679,0.9857,0.8659,0.9755,0.9828,0.6152,0.9054,0.9713,0.9775,0.9637
chr2:100001976,0.9527,0.9509,0.9576,0.9404,0.9556,0.9432,0.9311,0.9387,0.9522,0.9441,0.9540000000000001,0.918475,0.8947,0.9390000000000001,0.9346,0.9629,0.9613,0.8676,0.9509,0.9578,0.5792,0.8785,0.9461,0.9373,0.9414
chr2:100001937,0.9664,0.9624,0.9622,0.965,0.9622,0.9637,0.9623,0.9686,0.9599,0.953,0.9498,0.96495,0.937,0.9377,0.9595,0.9437,0.9768,0.9243,0.9746,0.9793,0.7111,0.9027,0.9722,0.975,0.9682
chr8:10613090,0.9685,0.9628,0.9652,0.9672,0.9668,0.9727,0.9865,0.9677,0.94,0.9636,0.9636,0.962575,0.9427,0.9542,0.9611,0.946,0.9781,0.9776,0.9825,0.9831,0.7841,0.982,0.9761,0.9826,0.9776
chr2:930243,0.9442,0.9627,0.9555,0.9496,0.9587,0.9357,0.9791,0.9666,0.965,0.7609,0.9451,0.957925,0.9213,0.9474,0.9112,0.9437,0.9666,0.9511,0.9658,0.9764,0.6388,0.9651,0.9667,0.9684,0.9419
chr1:18482803,0.9654,0.912,0.9748,0.937,0.9424,0.9531,0.9808,0.9241,0.7218,0.9841,0.9807,0.913125,0.9775,0.9815,0.9498,0.9146,0.9856,0.8629,0.9144,0.9609,0.5631,0.9348,0.9132,0.945,0.8971
chr6:163309251,0.9819,0.9813,0.98,0.9778,0.9789,0.9759,0.9857,0.9840000000000001,0.9581,0.9745,0.9789,0.96965,0.9716,0.9679,0.9596,0.9531,0.9844,0.9554,0.9849,0.9855,0.8245,0.9224,0.9867,0.9883,0.9774
chr2:44286618,0.9748,0.5710000000000001,0.976,0.9763,0.9764,0.9787,0.9728,0.9851,0.9675,0.951,0.9846,0.7229,0.8647,0.6596,0.9847,0.9835,0.9884,0.8962,0.9681,0.9845,0.5056,0.9172,0.976,0.9519,0.9804
chr13:112843814,0.9705,0.9723,0.973,0.9721,0.9733,0.9711,0.9885,0.8364,0.976,0.9783,0.9685,0.959533333333333,0.9707,0.9679,0.5138,0.9735,0.8053,0.8186,0.9625,0.9233,0.2616,0.3695,0.9739,0.9366,0.5419
chr12:72873189,0.9329999999999999,0.9427,0.9305,0.9304,0.9315,0.9268,0.9669,0.9116,0.9503,0.8728,0.9559,0.94465,0.9131,0.9507,0.872,0.9504,0.9271,0.9490000000000001,0.9302,0.9506,0.564,0.9541,0.9505,0.9183,0.9409
chr8:1676575,0.9666,0.9625,0.9613,0.9566,0.9681,0.9641,0.9783,0.966,0.9102,0.8597,0.9599,0.940825,0.9159999999999999,0.9413,0.9438,0.9603,0.9558,0.9803,0.9640000000000001,0.9688,0.6787,0.9721,0.9687,0.9595,0.8956
chr5:2866351,0.9397,0.9641,0.9472,0.9382,0.9554,0.9348,0.9751,0.9603,0.6758,0.6609,0.9590000000000001,0.80885,0.6045,0.8959999999999999,0.8728,0.9692,0.9351,0.8176,0.9321,0.9664,0.3288,0.927,0.9693,0.9616,0.9264
chr12:132288888,0.971,0.9746,0.971,0.9726,0.9716,0.972,0.961,0.9632,0.4082,0.932,0.9627,0.9385,0.9215,0.9696,0.9704,0.9733,0.9697,0.9522,0.953,0.9123,0.3512,0.8938,0.3051,0.9612,0.7964
